Sigma,Alpha,Seed,Cost,Peak
0.25,0.5,8,22.6520443457156,11.27153681360568
0.25,0.5,7,30.748706701374687,12.285819690404704
0.25,0.5,10,26.662600640272153,10.324876605991447
0.25,0.5,11,21.347203595599932,10.428605026997719
0.25,0.5,12,25.299738162112018,12.386279205675574
0.25,0.5,13,26.081562345033845,10.0
0.25,0.5,14,17.926884487669557,11.12130187200147
0.25,0.5,15,20.48785881013895,10.0
0.25,0.5,17,25.77181364030558,11.926865405471164
0.25,0.5,16,25.49999348351745,10.0
0.25,0.5,19,22.33988940091806,10.394449118772702
0.25,0.5,18,24.873453384462863,10.885450680550761
0.5,0.5,1,30.454350242356973,12.900700316622654
0.5,0.5,2,26.60554577295324,12.148509802076077
